uniqueID,drugName,condition,review,rating,date,usefulCount
178683,Victoza,Diabetes Type 2,type diabetic yr try victoza may today sept th lose pound im metformin day ac great side effect minimal mainly sour stomach control mostly diet low starch food help alot im glad try newer med find victoza,10,25-Sep-16,68.0
178737,Victoza,Diabetes Type 2,side effect,1,26-Dec-15,5.0
142104,Escitalopram,Depression,ive lexapro several year say initial side effect overwhelm stick help u train overcome sexual side effect weight gain control proper exercise diet im active person remind hit gym several time week greatly positively affect mood well pretend like choice go also please remember quotmagic pillquot take responsibility happiness include lot take antidepressant hope help,8,9-Mar-09,123.5
122246,Venlafaxine,Depression,worked week stop,1,18-Feb-09,14.0
176778,Nardil,Depression,medication brilliant completely get rid depression social phobia take mgday ssri didnt really work lay bed day think suicide death start nardil life completely change thank goodness medication,10,3-Sep-15,47.0
201175,Zoloft,Depression,bad one point anxieyy depression ocd work together horrible disgust thought ocd drive constant panic attack anxiety roof drove stay door avoid trigger push deep deep depression ive zoloft month low dose mg feel much well able go get job excel get three raise month felt bit anxiety ocd poke may need raise dose med changed life far rut dont give regain life back,10,19-Nov-16,88.0
231485,Trazodone,Depression,take trazodone help balance effect cymbalta sleep help depression experience wonderful help fall asleep sleep restfully together cymbalta trazodone completely eradicate depression,10,1-Jun-16,63.0
136286,Prazosin,High Blood Pressure,use parasomnia bph bp kind silver bullet new doc try give brand name extend release much expensive take night dizziness hasnt issue seem work well bph med try bp also reasonable seem make sleepwalk infrequent try,6,6-Nov-16,2.0
156581,Dulaglutide,Diabetes Type 2,initial use info review little dizzy nausea first day far blood sugar reading drop around ac look forward drop number next ac read mid july adverse affect far quotantispamquot verification ridiculous,8,30-May-17,13.0
158491,Methylphenidate,Depression,methylphenidate change life depression almost nonexistent also stop dwell problem take mg methylphenidate xr along mg effexor xr,10,12-May-15,54.0
141645,Escitalopram,Depression,yearold female ive always melancholic person give family history anxiety anger issue younger able experience happiness get older two kid get worse would get angry sad drop hat would sink depression also become difficult manage stress anxiety begin see therapist suggest get physical primary care physician ask get prescription antidepressant put mg lexapro first day lightheaded groggy aware every sensation body also thirsty week felt benefit feel happy,10,3-Nov-12,81.0
225955,Bupropion,Depression,wellbutrin significantly improve overall concentration else first time many year able actually sit read contently without mind wonder wish medication graduate university grade would probably much better take combination cipralex side effect medication,8,8-Jun-09,46.0
198434,Exenatide,Diabetes Type 2,ac normal range lose lb lab great due weight loss mcg year last ac good last time doctor want decrease mcg several dermatologist last year try figure hair loss unhealthy hair change texture never want attribute byetta although hair loss start month begin take desperate stop hair loss im consider stop byetta cant decide would worse bald gain back pound would really love know person recently post hair regrowth stop byetta,10,20-Mar-13,33.0
32140,Wellbutrin XL,Depression,know risky take antidepressant give symptom trouble daily life need help begin take wellbutrin xl mg first week felt increase suicidal thought tremor psychomotor agitation felt like go die week psychiatrist add klonopin help control side effect since improvement quality life ask,6,25-Jun-13,42.0
198026,Metoprolol,High Blood Pressure,take lopressor year work well lower blood pressure even calm anxiety lately doesnt work well guess doctor change,10,24-Jun-14,55.0
28999,Lexapro,Depression,year old mother ready give life start take mg lexapro eventually increase mg take year half although still deal side effect insomnia weight gain wake headache lexapro truly saved life kind mother wife family deserves,9,20-Jul-08,46.0
205363,Pristiq,Depression,take pristiq month one pill day im currently taper cause following effect loss emotion uncontrolable shake inability feel hungry full amp inability feel pain im anti depressant gp think good idea prescribe dont think ill ever take another anti depressant id rather feel everything nothing,1,5-Dec-15,12.0
201719,Zoloft,Depression,take zoloft year take mg daily find symptom diminish time real stress take extra pill say none previous drug take help depression post traumatic stress disorder age still react anything sound like gunfire spend year work government army rest law enforcement find issue deal country lose prescription backpack horrible two friend take pill even bed side effect find zoloft god send,10,26-May-13,123.5
95811,Sertraline,Depression,sertraline year develop strange phobia severe anxiety suicidal thought major depression medication probably save life however bring back halfway still depress still suffer anxiety attack much couple year believe stop work even increase dose stop take,6,12-May-14,25.0
198302,Exenatide,Diabetes Type 2,start bydueron week ago fine first week week become extremely ill vomit explosive diarrhea gas pain bloat like never long flatulence every minute embarrass sulfurtasting belch like rotten egg endo dr say wasnt med go primary doctor wasnt sure virus test come back negative third week thing decide take injection notify endo tell stop metformin resume shoot last week shot condition worsen finally tell stop injection four week suffer worth stuff poison,1,10-Nov-16,29.0
121905,Venlafaxine,Depression,help ton postpartum suffer depression long baby bear insomnia common take sleep aid first year tiny disturbance take recommendedworst ever felt quotbrain zapsquot like special kind torture appetite simply non existentnot good someone already weight save long time choice come heavily weigh withdrawal symptom suffer week later anxiety get well physically much change,9,23-Sep-12,1.0
126104,Viibryd,Depression,lexaprocelexacitolopram past year maybe couple fabulous year half ago stop work try wellbutrin lcc horrible like want hide corner desk paranoia doctor sugested viibryd lcc stop work far good cant attest gi problem dont know night time issue sleep like log single one tell go im sleep sleep issue relate viibryd find viibryd doesnt help anxietyanger issue doctor suggest add ltheanine help ton,9,15-Jan-13,38.0
55635,Effexor,Depression,start effexor oct start feel fantastic beside dry mouth bit nausea doctor mg november felt like whole different person get life back due side effect drug cause constipation facial twitch lower lip body jolt doctor tried ween mg take one pill every second day fast soon wow well do cold turkey brain zap cry feeling lose body scar tremor almost week effexor get vertigo felt like go die today start take mg today already feel difference could drug huge difference mood zap go dry mouth back live,9,13-Mar-17,22.0
78165,Zyprexa,Depression,medication great sedative thats youre look euphoric make sleepy cause gain pound less month get depressed look mirror doctor say make hungry gain weight amount weight gain short time unnatural,7,13-Feb-12,83.0
121103,Venlafaxine,Depression,medication far worst antidepressant take first month seem well year hit rock bottom mentally cause terrible symptom beneficial weird brain zap leave bed day sleep disturbance attention seek behavior well ocd never experience previously take forever get terrible drug call terrible drug brain body get physically addicted way street drug would miss day start severe withdrawal sweat extreme brain zap feel touch wrealitystrange thought month effexor bad stuff stop,1,6-Jan-17,10.0
11891,Trulicity,Diabetes Type 2,start trulicity month ago mgin begin queasy amp complete loss appetite great thing also belch amp heartburnsour stomach noticed month effect wear doctor put mg x per week plus mg x per week none side effect returnedmy appetite back queasiness weight loss stop well sour stomach belch wonder anyone else experienced effect medicine wear well sure still point also take mg metformin x daily amp invokanna,3,7-Mar-16,17.0
201891,Sitagliptin,Diabetes Type 2,diabetic since gotten worse year ac climb steadily take metformin mg per day march dr start januvia also cant believe difference ac go month also surprise havent side effect seem many med bother problem new health insurance wont cover januvia jan yuck,10,29-Sep-15,43.0
122110,Venlafaxine,Depression,heart attack become depressed lexapro zoloft xanax ativan wellbutrin buspar none work attempted suicide major depession anxiety disorder take comment stride right drug along intensive therapy switch effexor xr quotthe funny farmquot typical wait period kick tell new man look life like use saved life family hasnt do much anxiety first month severe quotepisodequot seroquel switch clonazepam issue please consult proper medical person,10,12-Feb-10,39.0
183430,Cymbalta,Depression,cymbalta indeed work give fair shake know result see read comment people quit use cymbalta never give quotrealquot chance work properly people cymbalta start work quickly may take week get full effect,9,25-Sep-11,19.0
186060,Desvenlafaxine,Depression,week break hive prednisone also take lamictal take didnt know med cause issue start itch get dr right away,3,28-Nov-15,13.0
131512,Effexor XR,Depression,work quickly head lot yawn week drowsy morning minute drive work start take get work well society general sometimes restless sleep say lot negative thought life dont notice dwell really good minor side effect im much happier less irritable family recognize easily im genuinely happy thankfully nasty side effect thus far,9,6-Oct-17,8.0
177320,Duloxetine,Depression,take cymbalta depression anxiety ive read comment sound like people may serotonin syndrome happen past prior doct didnt pay attention med please safe cymbalta help lot go yrs go back,10,16-Dec-16,27.0
32548,Lisinopril,High Blood Pressure,prescribed medicine day ago high blood pressure run average high blood pressure stroke run family day two three severe temporal headache itchy throat call doctor suggest sinus medication time take mg day,7,14-Oct-10,26.0
177893,Duloxetine,Depression,love cymbalta felt wonderful ache pain depression life back pay month supply happen copay go month supply want cry obviously cant afford get switched venlafaxine constant slight headache make nauseous anxiety back dr switch prozac yesterday shall see would give cymbalta back,10,16-Oct-12,32.0
101070,Rexulti,Depression,prescribe rexulti daily depression med begin longer work start work almost instantly rexulti along daily med feel better ever,10,7-Nov-16,45.0
201467,Zoloft,Depression,ive zoloft month initially suffer side effect shiver loss appetite drowsiness insomnia symptom last three day scar first plan try another medication anxiety however call cousin nurse tell try cut pill half take cousin advice cut pill half take mg day work really well meim lbs longer suffer anxiety take zoloft realize suffer depression zoloft alleviate anxiety greatly help depression feel happy motivate thing right away without procrastinate life changer,10,14-Oct-15,102.0
126052,Viibryd,Depression,never upsetembarrassed outburst anger day scream daughter water park well poor son airport cant believe aggressive behavior im get,3,12-Jul-13,61.0
170873,Quetiapine,Depression,well use mg per day together rexetin paroxetine fluonxol sometimes xanax use much medicine manic depression tendency self harm sleep disorder like medicine kind dream sleep normally dislike low libido thats boyfriend think something wrong even say side effect medicine take seem like quotmust doquot action without passion strange different great sex drive,9,28-Nov-11,7.0
95995,Sertraline,Depression,zoloft year year ago social anxiety work great decide get slowly symptom come back also get depressed get back zoloft month ago feel great get night guard dentist chip two teeth crack molar grind teeth mg daily,9,22-Mar-13,85.0
32802,Empagliflozin,Diabetes Type 2,jardiance give back pain dehydrate decide drink one glass coconut water everyday relieve pain work,9,20-Aug-17,12.0
122034,Venlafaxine,Depression,strange give smoking year help effexor,9,22-Aug-11,1.0
11757,Trulicity,Diabetes Type 2,start trulicity far side effect im use drink lot water im bother dry mouth hope help doesnt give kkidney damage ill keep u post,2,25-Jun-16,11.0
17349,Toprol-XL,High Blood Pressure,start take medicine work take pressure heart cause arthritis knee hand foot pain time hand develop arthritis thumb foot toe try another astra zeneca product call atacand work well expensive cant afford buy,5,23-Oct-11,60.0
201647,Zoloft,Depression,im mg zoloft change life,10,3-Nov-14,123.5
119971,Losartan,High Blood Pressure,take mg cozaar x daily day bad dream lightheaded dizzy start nosebleed stop take im call doctor today,1,2-May-14,123.5
205507,Pristiq,Depression,suffer severe anxiety gad take klonopin time go sensitive medication try many different ssrisnris year horrible side effect finally dna test see would respond result pristiq start several month ago small dose split pill even though say dont within day anxiety literally go away able cut klonopin two month period first week two extremely tired pass side effect get time time migraine still amaze anxiety disappear longer keep klonopin pocket,8,1-Nov-13,81.0
186252,Desvenlafaxine,Depression,depression get worse cause miss work different antidepressant year pristiq didnt help headache foggy nausea also shaky time,1,4-Apr-13,35.0
45435,Fluoxetine,Depression,life struggle severe panic attack general anxiety ptsd amp moderate depression med twice felt well amp would stop take last time close year suffering decide reluctantly go back med try celexa work kinda okay past time make improvement saw doc switch prozac say wow best yet feel like old happy self month mg first week second mg last two give time work amp patient might make feel bit amp better first miracle drug bad feeling pas hang,10,15-Mar-15,88.0
120982,Venlafaxine,Depression,try everything depression venlafaxine one drug help depress jumped building suicide attempt wound paralyzed wheelchair venlafaxine take work moth first take mg didnt much wasnt reach mg felt true effect drug strong antidepressant effect mind clear im feel warm glow day depression anxiety go even though im paraplegic happy wish give drug long time ago would wheelchair really patient find right dose ab one day youll wake feel great,9,18-Jul-17,6.0
65107,Hydrochlorothiazide,High Blood Pressure,go bp several year ago lower eat standard american diet year ago start eat whole food diet limit process food take medicine would become faint stand fast forward trip vega march go bus fell back standard american diet long ago stop regularly monitor bp four day ago wake headache call parent inform wouldnt make turkey day dinner still pills remain take mg day since along day fast eat whole food four day ago im reduce,6,30-Nov-15,36.0
81846,Liraglutide,Diabetes Type 2,start victoza today mg felt undeniably utterly unwell imagine even try second day summary severe low blood sugar symptom ravenously hungry also prescribe weight loss well diabetes headache energy general feeling well short recommend anyone,1,7-Feb-17,7.0
102960,Aripiprazole,Depression,doctor give week abilify mg sample take addition mg wellbutrin make extremely dizzy difficulty drive safely due,1,3-Apr-10,41.0
61611,Citalopram,Depression,year untreated depression anxiety panic attack decide finally ask help come form mg citalopram first week mg another month boost mg next month time nothing bad side effect instead feel depressed sad get grumpy mad trouble sex driveperformance insomnia ridiculous partner tell change since start medication since come medication live happily without,2,8-Oct-16,6.0
205463,Pristiq,Depression,little two year due job change move suffer many anxietypanic attack one land er diagnose depression put pristiq time start work take medication month slowly go dont like dependent medication main reason go sex drive limit take antidepressant start feel like slip depression probably start pristiq work wonder,9,13-Sep-13,63.0
76472,Azor,High Blood Pressure,azor day also start mg cymbalta night severe headache time get time go bed also diarrhea time time day azor stop pulsating heartbeat sound ear see dr day discuss happen continue medication previously cymbalta side effect dont believe symptom medication,7,11-Jan-13,6.0
205920,Pristiq,Depression,wrap week pristiq first depression treatment attempt therefore unable compare similar drug notable elevate mood onandoff headache sleepiness confusion poor coordination decrease appetite consistent sex drive positive effect drug definitely outweigh set back thanks pristiq everyone different therefore two people expect react,8,26-Jul-09,20.0
125954,Viibryd,Depression,major side effect med amp help anxiety amp depression ive take month titrate mg med help mood diarrhea wasnt temporary put mg mg work fine still get diarrhea every amp whereas didnt start viibryd something peculiar seem since start viibryd gut intolerant veggie eat fine start med lettuce even organic grocery spray wpreservatives cook cauliflower etc run right common ppl affect wo med never sensitive sure correlation crampy stay viibryd,8,3-Jul-15,29.0
195967,Levomilnacipran,Depression,fetzima couple month depression still really bad doctor keep increase dose sign improvement eventually blood pressure pulse high come,2,22-Sep-14,66.0
126085,Viibryd,Depression,ive try prozac zoloft celexa none work well would work maybe month depression creep back life start take viibryd recommendation doctor trust friend life change dramatically better dont wipe feel sex drive stay medicine god send fight get insurance cover worth,10,22-Feb-13,97.0
61634,Citalopram,Depression,im mg day take sertraline mirtazapine dont think anything doctor say dont know get bi polar schizophrenia lol thats u get honest stop week think nothing never felt ill life thats cold turkey im anyone else mg,3,25-Jul-16,11.0
45779,Fluoxetine,Depression,year old male go serious bout anxiety depression luckily place call freedom fear staten island able counsel free charge affiliate columbia university doctor prescribe new drug approve availableprozac take eight month recover much help deal tragedy mother die year later yes medicine saved life reason right take medicine eight month slowly get year later totally fine,9,13-Aug-10,122.0
125844,Viibryd,Depression,end viibryd week start feel normal begin week mg nausea ondancetron med really help work headache week new symptom gritty feeling eyesthink dry eye buy good tear drop seem lot well keep use switched cold turkey mg lexapro start new antidepressant always take weekend never workweek might make sleep day quotout itquot thats usually adjustment period go thru bad doctor dont always let patient know expect,8,31-Aug-16,15.0
198181,Metoprolol,High Blood Pressure,take toprol xl year doctor put mg twice day total mg day approve insurance company work side effect blood pressure steady,10,17-Jun-08,83.0
97411,St. john's wort,Depression,take top taking depression fatigue ill put good first supplement amaze make feel much confident much less socially anxious able assertive fatigue interested thing feel joy look mountain start increase facial twitch also ritalin brought sjw feel kind like drug like ritalin much lower ive got say feel pretty good take take mg morning double dose single dose around sometimes take another dose around pm feel like dont need anymore highly recommend,10,17-Jun-17,20.0
168763,Vilazodone,Depression,start viibryd mgday year ago go thru prolong low like alot folk ive try many different thing year go thru rollercoaster titrate titrate stuff work stop work etc surprise viibryd help though diarrhea forth super annoy first gradually abate unlike antidepressant could feel effect within first week two even titrate gradually recently go mg mood brighter help clear brain fog various effect body deeper sleep intense dream increase sex drive almost annoy well gi stuff far good,8,30-May-15,57.0
62152,Citalopram,Depression,work great feel like positive energetic interest activity return,8,18-Apr-14,79.0
32101,Wellbutrin XL,Depression,situational depression never deal wellbutrin definitely help get bed day quotsituationquot become well well find emotion arent whack cry less amp get angry less feel make anxious im already deal amp take buspirone didnt experience many side effect one hard deal seem make get day little better deal make throat feel close annoy feel often like cant breathe well amp cant swallow something stuck throat ive take pill several day determine wellbutrin amp,8,3-Dec-14,52.0
46946,Emsam,Depression,try effexor wellbutrin paxil zoloft past result emsam bring seven year little localized skin irritation,8,26-Jul-10,51.0
25182,Diovan,High Blood Pressure,take drug year blood pressure stay around sudden start ring ear decide go diovan read side effect also notice shortness breath weight gain tiredness blood pressure without diovan medication except still ring ear,4,4-Apr-10,92.0
32315,Lisinopril,High Blood Pressure,headache pressure foreheaditching take med bedtime obvious side effect dizziness dont drive night,4,28-Oct-16,26.0
140765,Escitalopram,Depression,start cipralex mg month ago first week side effect enjoyable stuck within month notice feel better friend family also notice well overall mood last week dr mg day due start feel horrible mood start see build small tolerance term anxiety medication effect help,9,6-Jul-16,2.0
205810,Pristiq,Depression,felt difference right away negative feedback tiredness cant stay awake know come add medication medication day already feel like new woman longer need xanax,8,25-Jun-10,15.0
225545,Bupropion,Depression,take prozac zoloft paxil doctor put wellbutrin xl morning help even increase wellbutrin xl mg morning even work mood seem great learn since take new formulation market call forfivo xl take day morning along lamictal mg feel great dont worry work coworkers mood swing work family still take klonopin mg three time day anxiety panic attack take klonopin mg bedtime elavil mg help sleep,10,23-Nov-13,41.0
186190,Desvenlafaxine,Depression,suffer severe anxiety gad take klonopin time go sensitive medication try many different ssrisnris year horrible side effect finally dna test see would respond result pristiq start several month ago small dose split pill even though say dont within day anxiety literally go away able cut klonopin two month period first week two extremely tired pass side effect get time time migraine still amaze anxiety disappear longer keep klonopin pocket,8,1-Nov-13,81.0
176027,Toujeo,Diabetes Type 2,get better result lantus used lantus year use toujeo year april experience adverse side effect blood sugar much stable many high low make easier finetuning mealtime insulin ac come stayed,9,2-May-16,8.0
186226,Desvenlafaxine,Depression,ive pristiq month mg take week help relax outlook life still lot side effect talk forget take pill day two fall straight back place,7,2-Dec-12,27.0
225531,Bupropion,Depression,bad car accident year ago tear already injure back first rely cymbalta narcotic get pain narcotic lift mood cymbalta help pain eventually narcotic lortab stop work together im big fan opiates pain relief would take choice feel normal couldnt even sit car min without sear nerve paini accidently stumble review say wellbutrin also help back pain best thing thats happen replaced med feel great cymbalta horrible come lortab much think lucky,10,22-Jun-14,88.0
186284,Desvenlafaxine,Depression,lexapro year work great exception zero libido relationship stake decide try pristiq week realize back old irritable premedicated self cry drop hat snap love one nauseous almost everyday mention go pound pound month talk doctor today suggest try viibryd,1,13-Jun-12,13.0
119889,Losartan,High Blood Pressure,take lozartan mg year stop leave leg back pain month side effect doctor prescribe another one yesterday say lozartan many side effect,7,12-Feb-16,38.0
119128,Zoloft,Depression,ive zoloft almost year change medicine day make really anxious drug work well depression anxiety however ive completely unable good time medication cant bring go hang friend nothing motivation biggest problem ive zoloft extreme weight gain ive gain lb year,8,27-May-09,123.5
148376,Empagliflozin / linagliptin,Diabetes Type 2,type two go diabetic ketoacidosis dka spend three day icu get found endocronologist put glyxambi number stay also eat many carbs doctor give discount card use get script fill day supply free card feel better year last ac drug since april today oct th,10,28-Oct-16,10.0
205513,Pristiq,Depression,suffer depression year take cymbalta chronic pain still fall deep depression doctor add pristiq day im feeling much well,10,29-Apr-13,35.0
225574,Bupropion,Depression,start take wellbutrin week ago depression zoloft past year need change switch irritable three day ago develop hive swell lip nd er visit back zoloft,2,3-Feb-14,40.0
61630,Citalopram,Depression,couple year ago end anxiety depression doctor prescribe citalopram start mg couple week increase dosage mg side effect sweat wake able get back sleep take sbout week felt great much happier little anxiety wife notice change well stay citalopram month month keep reduce dosage mg weekly med withdrawal felt great go med personal problem send sideways doctor put back citalopram take week work like first time feeling,10,30-Jul-16,17.0
189848,Jardiance,Diabetes Type 2,start last week take day make ill stop nd dose still poorly day later glad hear people real benefit,1,1-Aug-17,8.0
102614,Aripiprazole,Depression,medication amaze month gain lb,10,29-Dec-15,50.0
89146,Celexa,Depression,love celexa get depress long hour med school study feel like time enjoyment celexa take week work work continue work longer feel depressed every day sometimes sink depression able snap much quicker feel less moody boyfriend notice improvement mood side effect experience decrease sex driveharder time climax would prefer go deep end continue take consider weening life less stressful great medicine save life,10,3-Jun-17,32.0
102833,Aripiprazole,Depression,take abilify one year prescribe add cymbalta suicide attempt feel boost mood gain pound cant imagine continue medication side effect worth switch angst life circumstance feel depressed continual weight gain,3,19-Feb-13,94.0
93414,Vortioxetine,Depression,take medication day heart start hurtingi end emergency room blood pressure sky rocket heart rate throught roof lay heart rate steady moment stand jump bpmthis never happen take medication bed rest week far doesnt seem get better,1,3-Apr-15,50.0
45913,Fluoxetine,Depression,one drug dont side effect,9,23-Sep-08,123.5
176026,Toujeo,Diabetes Type 2,language year side effect take unitsbeen toujeo week im begin notice pound heart beat start yesterday hope pass cause like number im get wasnt get kind number language,5,2-Jun-16,10.0
28852,Lexapro,Depression,start take lexapro go week ago think great side effect suffer begin headache pretty much go also put additional weight actually lose pound seem suppress appetite highly recommend,9,14-Sep-09,36.0
96247,Sertraline,Depression,suffer inherited depression chemical imbalance family doctor put mother time nauseous headache first week subside go dose month mg side affect go away happygolucky zoloft make normal forgotten normal year ago save marriage life well recommend take night though,10,8-Mar-12,45.0
